pair	time	wvol	askx	bidx	price	ntrades	askp	askv	bidp	bidv
XETHXXBT	 5 May 17 04:54:56	0.060898	1.099098	4.189335	0.061	2411	0.061061	18	0.060715	69
XETHZCAD	 5 May 17 04:54:52	125.75267	128.99999	6256.6185	127.99	61	128.99999	1	125.13237	50
XETHZEUR	 5 May 17 04:54:58	84.86207	258.44967	257.13732	85.71243	2353	86.14989	3	85.71244	3
XETHZGBP	 5 May 17 04:54:53	70.49117	70.49999	140.38244	70.5	14	70.49999	1	70.19122	2
XETHZJPY	 5 May 17 04:54:59	9117.54625	157862.95	135864.855	11058.813	6	11275.925	14	9057.657	15
XETHZUSD	 5 May 17 04:54:55	94.31437	95.47954	380.04	95.01013	3669	95.47954	1	95.01	4
XXBTZCAD	 5 May 17 04:54:57	2020.41379	2148.754	2091.412	2090.914	159	2148.754	1	2091.412	1
XXBTZEUR	 5 May 17 04:54:53	1393.57314	15510	1409.5	1409.5	3901	1410	11	1409.5	1
XXBTZGBP	 5 May 17 04:54:47	1195.69534	1199.936	1150.772	1150.428	12	1199.936	1	1150.772	1
XXBTZJPY	 5 May 17 04:54:57	176150.968	180344.4	175533	175524	38	180344.4	1	175533	1
XXBTZUSD	 5 May 17 04:54:58	1549.21434	1568.579	15665	1565.002	2464	1568.579	1	1566.5	10
XLTCZEUR	 5 May 17 04:55:00	22.57541	22.80157	523.04415	22.65401	1113	22.80157	1	22.74105	23
XLTCXXBT	 5 May 17 04:55:04	0.01611427	0.016222	0.09711	0.016188	854	0.016222	1	0.016185	6
